title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
"Chi's Sweet Home, Volume 12",Chi's Sweet Home / チーズスイートホーム,Kanata Konami,"['Manga', 'Graphic Novels', 'Cats', 'Comics', 'Animals', 'Fiction', 'Juvenile', 'Humor', 'Graphic Novels Comics', 'Childrens']",171,November 3rd 2015,2015,4.56,98.0,19.16
The New Prophecy Box Set,Warriors: The New Prophecy,Erin Hunter,"['Fantasy', 'Animals', 'Cats', 'Adventure', 'Childrens', 'Young Adult', 'Fiction', 'Action', 'Middle Grade', 'Romance']",0,October 1st 2008,2008,4.56,98.0,17.57
The Complete Novels,standalone,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Classic Literature', 'Novels', 'Regency', 'British Literature']",1344,06/17/96,1996,4.56,97.0,2.76
Bitch,Bitch,Deja King,"['Fiction', 'Urban', 'Adult Fiction', 'African American', 'Drama', 'Romance']",196,February 1st 2006,2006,4.56,96.0,2.86
Pather Panchali: Song of the Road,অপুর পাঁচালী,Bibhutibhushan Bandyopadhyay,"['Fiction', 'Classics', 'India', 'Novels', 'Indian Literature', 'Drama', 'Literary Fiction', 'Asia', 'Family', 'Literature']",316,September 1975,1975,4.56,97.0,14.11
The Light of Truth: Writings of an Anti-lynching Crusader,standalone,Ida B. Wells-Barnett,"['Nonfiction', 'History', 'Classics', 'Feminism', 'Race', 'Politics', 'Womens', 'Journalism', 'Biography', 'Anti Racist']",568,November 27th 2014,2014,4.56,100.0,16.38
The Wise Man's Fear,The Kingkiller Chronicle,Patrick Rothfuss,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Adult', 'Epic']",994,03/01/11,2011,4.56,98.0,16.37
The Afterdeath Journal of an American Philosopher; The World View of William James,standalone,Jane Roberts,"['Nonfiction', 'Philosophy']",0,January 1st 2001,2001,4.56,97.0,14.23
Diary of Saint Maria Faustina Kowalska: Divine Mercy in My Soul,standalone,Maria Faustyna Kowalska,"['Catholic', 'Religion', 'Spirituality', 'Nonfiction', 'Faith', 'Christian', 'Biography', 'Christianity', 'Theology', 'Autobiography']",730,January 1st 2005,2005,4.56,97.0,9.43
"Remembrance of Things Past: Volume III - The Captive, The Fugitive, & Time Regained",Remembrance of Things Past,Marcel Proust,"['Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', '20th Century', 'Anthologies', 'Literary Fiction']",1152,August 12th 1982,1982,4.56,97.0,7.82
Bridge In The Menagerie,standalone,Victor Mollo,"['Games', 'Nonfiction']",144,June 30th 2003,2003,4.56,100.0,15.15
Up and Down California in 1860-1864: The Journal of William H. Brewer,standalone,William H. Brewer,"['History', 'Travel', 'Nonfiction']",624,January 3rd 1975,1975,4.56,99.0,18.02
God Passes By,standalone,Shoghi Effendi,"['Baha I', 'History', 'Religion', 'Nonfiction']",694,January 1st 1999,1999,4.56,94.0,59.36
"Fullmetal Alchemist, Vol. 5",Fullmetal Alchemist,Hiromu Arakawa,"['Manga', 'Fantasy', 'Comics', 'Graphic Novels', 'Fiction', 'Science Fiction', 'Steampunk', 'Shonen', 'Young Adult', 'Comics Manga']",192,January 10th 2006,2006,4.56,99.0,3.07
"Nausicaä of the Valley of the Wind, Vol. 3",Nausicaä of the Valley of the Wind,Hayao Miyazaki,"['Manga', 'Graphic Novels', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Comic Book', 'Graphic Novels Comics', 'Japan']",150,May 5th 2004,2004,4.56,99.0,9.02
Avatar Volume 8: The Last Airbender,Avatar: The Last Airbender Books,Michael Dante DiMartino,"['Graphic Novels', 'Fantasy', 'Manga', 'Comics', 'Young Adult', 'Humor']",93,August 1st 2008,2008,4.56,97.0,29.27
Apricots at Midnight: And Other Stories from a Patchwork Quilt,standalone,Adèle Geras,['Childrens'],188,May 1st 2005,2005,4.56,100.0,3.66
"Berserk, Vol. 6",ベルセルク / Berserk,Kentaro Miura,"['Manga', 'Fantasy', 'Comics', 'Horror', 'Graphic Novels', 'Comics Manga', 'Seinen', 'Fiction', 'Dark Fantasy', 'Action']",223,February 1st 2005,2005,4.56,99.0,12.46
Go Forward with Faith: The Biography of Gordon B. Hinckley,standalone,Sheri Dew,"['Biography', 'Religion', 'Lds', 'Nonfiction', 'Church', 'Inspirational', 'Lds Non Fiction', 'Biography Memoir', 'Spirituality', 'History']",653,December 1st 1996,1996,4.56,97.0,3.98
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",standalone,Robin Wall Kimmerer,"['Nonfiction', 'Nature', 'Science', 'Environment', 'Memoir', 'Audiobook', 'Spirituality', 'Essays', 'Ecology', 'History']",391,October 15th 2013,2013,4.56,97.0,52.26
Fire of the Covenant: The Story of the Willie and Martin Handcart Companies,standalone,Gerald N. Lund,"['Historical Fiction', 'Lds', 'Religion', 'Lds Fiction', 'Fiction', 'Historical', 'Church', 'Inspirational', 'Christian Fiction', 'Spirituality']",794,December 1st 2004,2004,4.55,99.0,3.33
Gabriel García Márquez: One Hundred Years of Solitude,Landmarks of World Literature,Michael Wood,"['Fiction', 'Classics', 'Novels', 'Literature', 'Magical Realism', 'Fantasy', 'Romance', 'Roman']",132,May 31st 1990,1990,4.55,97.0,13.56
"The Civil War, Vol. 3: Red River to Appomattox",The Civil War,ShelFoote,"['History', 'Civil War', 'American Civil War', 'Nonfiction', 'War', 'Military Fiction', 'American History', 'Audiobook', '19th Century', 'Politics']",1120,November 12th 1986,1986,4.55,97.0,6.74
Queen of Shadows,Throne of Glass,Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'New Adult', 'Fiction', 'Young Adult Fantasy', 'Fae', 'High Fantasy', 'Paranormal']",648,09/01/15,2015,4.55,97.0,11.11
Magic Binds,Kate Daniels,Ilona Andrews,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Shapeshifters', 'Paranormal Romance', 'Adult', 'Fiction']",328,September 20th 2016,2016,4.55,99.0,4.77
"The Complete Works of Aristotle: The Revised Oxford Translation, Volume 2",The Complete Works of Aristotle,Aristotle,"['Philosophy', 'Classics', 'Nonfiction', 'Science', 'Reference', 'History', 'Politics', 'Ancient', 'Logic', 'Economics']",1644,September 21st 1984,1984,4.55,98.0,29.95
Percepliquis,The Riyria Revelations,Michael J. Sullivan,"['Fantasy', 'Epic Fantasy', 'Fiction', 'Adventure', 'High Fantasy', 'Magic', 'Audiobook', 'Romance', 'War', 'Adult']",620,January 16th 2012,2012,4.55,99.0,5.23
Evidence Not Seen: A Woman's Miraculous Faith in the Jungles of World War II,standalone,Darlene Deibler Rose,"['Biography', 'Christian', 'Nonfiction', 'History', 'Memoir', 'World War II', 'Biography Memoir', 'Faith', 'Autobiography', 'Christianity']",224,November 25th 2003,2003,4.55,97.0,10.63
"The Awakening Land: The Trees, The Fields, & The Town",The Awakening Land,Conrad Richter,"['Fiction', 'Historical Fiction', 'Classics', 'Historical', 'Novels', 'American']",630,August 12th 1966,1966,4.55,99.0,97.15
Dhammapada: The Way of Truth,standalone,Sangharakshita,"['Buddhism', 'Nonfiction']",160,January 1st 2010,2010,4.55,97.0,9.14
